Company1,Company2,Value
1,1,1.0
1,2,-0.47300744913572806
1,3,0.8978484747837965
1,4,-0.3129274211164756
1,5,0.3828644202634506
1,6,0.261419082187653
1,7,0.21293687451773052
1,8,-0.5179791184846894
1,9,0.2376712254360948
1,10,0.37276821264914384
1,11,0.21247345776516316
1,12,-0.5901036943926012
1,13,-0.46293405877425015
1,14,0.2549695375084679
1,15,0.2742907930351219
1,16,0.7060963580629331
1,17,0.2808351791782283
1,18,-0.6464417258228676
1,19,-0.18211577486559286
1,20,0.3302519066003975
1,21,-0.08602656492159227
1,22,-0.09038878403846477
1,23,-0.8088312288984413
1,24,0.7794378026288492
1,25,0.5105537862431196
1,26,-0.5783981413246121
1,27,-0.6330265347428574
1,28,0.7212778099258627
1,29,0.7515690235512003
1,30,0.22459169732915088
2,1,-0.47300744913572806
2,2,0.9999999999999998
2,3,-0.47760322316515486
2,4,-0.1286776329502729
2,5,-0.1937413364120053
2,6,-0.14011565361166503
2,7,0.3441069346574544
2,8,0.3552356429699328
2,9,0.28715607097574936
2,10,0.16798704644132842
2,11,-0.06622770719375486
2,12,0.39975155878148255
2,13,0.5967353656843177
2,14,-0.19719866449216966
2,15,-0.1771667909160574
2,16,-0.2626150066426874
2,17,-0.18947434691949525
2,18,0.37594112044254174
2,19,0.762929060223537
2,20,-0.19741821876402924
2,21,0.2688394396090729
2,22,0.14238708825436502
2,23,0.7264879436709014
2,24,-0.32212045410197093
2,25,-0.13887106796563534
2,26,0.6829981288394338
2,27,0.7765952163358907
2,28,-0.25360085552037714
2,29,-0.6606144325803348
2,30,0.3189556760823791
3,1,0.8978484747837966
3,2,-0.47760322316515486
3,3,1.0
3,4,-0.5027146102653576
3,5,0.46208418663150164
3,6,0.32175132976031817
3,7,0.21262689610484928
3,8,-0.6488522703375758
3,9,0.16782129019335182
3,10,0.3999587191013648
3,11,0.28872928081591914
3,12,-0.7435072151824589
3,13,-0.5267518128030767
3,14,0.28317476055716556
3,15,0.32334409192815966
3,16,0.7725454841968004
3,17,0.32570033250929314
3,18,-0.8226465418134802
3,19,-0.29961664838159413
3,20,0.5269212540981069
3,21,-0.006996689975285326
3,22,-0.25589895110026956
3,23,-0.8688204763650196
3,24,0.7980572530224
3,25,0.6110403132041028
3,26,-0.6095493194748838
3,27,-0.7007328762736984
3,28,0.7662578650374751
3,29,0.8354017912796601
3,30,0.4072376838277084
4,1,-0.3129274211164756
4,2,-0.1286776329502729
4,3,-0.5027146102653576
4,4,1.0
4,5,-0.32479569635275835
4,6,-0.22390663295765678
4,7,-0.5683724455451059
4,8,0.6013036193604361
4,9,-0.34949821450963064
4,10,-0.6327117694318275
4,11,-0.15600849234023542
4,12,0.7434501599154063
4,13,0.20883985308889957
4,14,-0.2685676299227351
4,15,-0.25946593805633117
4,16,-0.3643235600426281
4,17,-0.2736794164707325
4,18,0.7176332953177784
4,19,0.10001845513037172
4,20,-0.7951059496242088
4,21,0.09621618741260735
4,22,0.6799504515421951
4,23,0.31480348205413394
4,24,-0.37052871683786154
4,25,-0.5498499532029727
4,26,0.10089309959761214
4,27,0.34014703141463054
4,28,-0.33087274909707814
4,29,-0.466065024826931
4,30,-0.8587137833058223
5,1,0.3828644202634505
5,2,-0.19374133641200528
5,3,0.46208418663150164
5,4,-0.32479569635275835
5,5,1.0
5,6,0.6249935016215062
5,7,0.11702210847723717
5,8,-0.39833574136514555
5,9,-0.06957547390973637
5,10,0.2515552320302682
5,11,0.4190504417807829
5,12,-0.41994546762875334
5,13,-0.1956739460423656
5,14,0.7306106551350889
5,15,0.7113576088545518
5,16,0.6952118108846723
5,17,0.7497006206936567
5,18,-0.5378363922344778
5,19,-0.1296422467187786
5,20,0.2832922254469546
5,21,0.2290113220828868
5,22,0.008533039420703334
5,23,-0.5310041611964624
5,24,0.680488579707559
5,25,0.855418832534426
5,26,-0.4691468626618165
5,27,-0.44702299937729184
5,28,0.5035235040931808
5,29,0.5583832773678723
5,30,0.3650029336792587
6,1,0.2614190821876529
6,2,-0.14011565361166503
6,3,0.3217513297603181
6,4,-0.22390663295765678
6,5,0.6249935016215064
6,6,1.0
6,7,0.08216243470777447
6,8,-0.26948222009483125
6,9,-0.0526307026125375
6,10,0.20830742867894114
6,11,0.7305334733948554
6,12,-0.21494401169638622
6,13,0.010315428510991567
6,14,0.7024452628547402
6,15,0.8938029387616531
6,16,0.5694383621371744
6,17,0.8563856724867157
6,18,-0.3743211521884869
6,19,-0.1003510297939256
6,20,0.1479304975422017
6,21,0.318231975830894
6,22,0.03228249757364094
6,23,-0.29894185551353625
6,24,0.32228540341004114
6,25,0.7797332828205835
6,26,-0.2704513964280046
6,27,-0.21755419290879005
6,28,0.3680412001112115
6,29,0.3595017635228629
6,30,0.36703088889930974
7,1,0.21293687451773052
7,2,0.3441069346574544
7,3,0.21262689610484928
7,4,-0.5683724455451059
7,5,0.11702210847723717
7,6,0.08216243470777448
7,7,1.0
7,8,-0.3003708138236363
7,9,0.6440642954807009
7,10,0.6719766771674425
7,11,0.04833853860023548
7,12,-0.3489700548917575
7,13,0.10444253440746652
7,14,0.10420567478120166
7,15,0.10537378336655094
7,16,0.16345309112066353
7,17,0.1037876737690909
7,18,-0.3662539119490333
7,19,0.20091378049314274
7,20,0.35716969197747916
7,21,-0.07396403288300842
7,22,-0.22518375628022044
7,23,-0.006765103294881829
7,24,0.1757788273169079
7,25,0.37234615575726354
7,26,0.12981183327534318
7,27,0.01584675471289595
7,28,0.16188157469158193
7,29,0.24327917135796703
7,30,0.6702233886156825
8,1,-0.5179791184846892
8,2,0.35523564296993276
8,3,-0.6488522703375758
8,4,0.6013036193604362
8,5,-0.3983357413651455
8,6,-0.2694822200948312
8,7,-0.30037081382363623
8,8,1.0
8,9,-0.0888235932835069
8,10,-0.30698070329648625
8,11,-0.1590548213282314
8,12,0.8413005091949357
8,13,0.7015741579317585
8,14,-0.32668178091406425
8,15,-0.3118814319720348
8,16,-0.5064391706963328
8,17,-0.3281516985262124
8,18,0.729868516729347
8,19,0.3815110164481053
8,20,-0.6504256078767353
8,21,0.13622920304129643
8,22,0.30361065861653386
8,23,0.6411072217124606
8,24,-0.5500983485360154
8,25,-0.5409503961528003
8,26,0.714448140950896
8,27,0.6291922732062385
8,28,-0.4834697206282223
8,29,-0.7162319993065664
8,30,-0.48224305400289347
9,1,0.2376712254360948
9,2,0.2871560709757493
9,3,0.16782129019335182
9,4,-0.34949821450963064
9,5,-0.06957547390973635
9,6,-0.05263070261253751
9,7,0.6440642954807009
9,8,-0.0888235932835069
9,9,1.0
9,10,0.7555245801823846
9,11,-0.034151475252781456
9,12,-0.1376747084956811
9,13,0.17384299803504005
9,14,-0.06180646333990658
9,15,-0.06053602492405669
9,16,0.07002261303180002
9,17,-0.06359824604171145
9,18,-0.2013677069636848
9,19,0.2089769936062261
9,20,0.1811234698861258
9,21,-0.15738217077494981
9,22,-0.2542556508820963
9,23,-0.002929112235644191
9,24,0.10246905058212778
9,25,0.13894407389612926
9,26,0.21256618995810905
9,27,0.07092365162694436
9,28,0.10831767321256329
9,29,0.16268749223261608
9,30,0.4441189272671396
10,1,0.37276821264914384
10,2,0.1679870464413284
10,3,0.39995871910136477
10,4,-0.6327117694318275
10,5,0.25155523203026825
10,6,0.20830742867894114
10,7,0.6719766771674426
10,8,-0.3069807032964863
10,9,0.7555245801823846
10,10,1.0
10,11,0.1624908759119647
10,12,-0.44153676366197503
10,13,0.02399420307105423
10,14,0.20463251593135887
10,15,0.22031495529095377
10,16,0.3299004197324232
10,17,0.22431431052901307
10,18,-0.48897414476219886
10,19,-0.00604103900783362
10,20,0.5185311764503372
10,21,-0.016931973259092303
10,22,-0.49807727741425595
10,23,-0.27958809850212857
10,24,0.3238359361133828
10,25,0.48073303372553683
10,26,0.0321722471595694
10,27,-0.22185572186749808
10,28,0.3059246325120128
10,29,0.44097755862924753
10,30,0.6839580598492807
11,1,0.21247345776516316
11,2,-0.06622770719375486
11,3,0.28872928081591914
11,4,-0.15600849234023542
11,5,0.4190504417807829
11,6,0.7305334733948554
11,7,0.04833853860023549
11,8,-0.15905482132823143
11,9,-0.034151475252781456
11,10,0.1624908759119647
11,11,1.0
11,12,-0.10037042644741677
11,13,-0.013270282337742538
11,14,0.38364047249820366
11,15,0.6094450579095216
11,16,0.47988706707059753
11,17,0.5873463851654454
11,18,-0.27421630011256126
11,19,-0.026480827124732667
11,20,0.10455388505361181
